<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20171019,000000,67.7180000,68.2060000,67.5510000,67.8430000,110052
20171020,000000,67.7576000,68.0260000,67.4729000,67.7050000,112099
20171021,000000,67.7490000,67.7550000,67.5508000,67.7550000,8
20171022,000000,67.5820000,67.7620000,67.5020000,67.5360000,235
20171023,000000,67.6160000,67.7600000,67.3437000,67.4728000,94756
20171024,000000,67.5630000,67.8910000,67.4175000,67.7497000,101451
20171025,000000,67.7930000,68.2550000,67.5610000,68.1960000,122674
20171026,000000,68.2160000,68.3980000,67.2530000,67.2860000,122903
20171027,000000,67.3860000,68.1470000,67.1000000,67.3597000,131415
20171028,000000,67.4150000,67.4287000,67.3560000,67.4090000,9
20171029,000000,67.3810000,67.9213000,67.3140000,67.6668000,282
20171030,000000,67.5830000,67.6767000,66.9671000,67.5110000,94067
20171031,000000,67.5420000,68.2040000,67.3180000,67.8347000,112228
20171101,000000,67.9350000,67.9790000,67.1970000,67.6204000,107154
20171102,000000,67.6260000,68.1570000,67.2024000,67.7509000,98864
20171103,000000,67.8460000,68.8440000,67.6970000,67.9885000,112214
20171104,000000,68.5380000,68.5590000,67.7880000,68.5590000,10
20171105,000000,68.4670000,68.6380000,68.4240000,68.4379000,113
20171106,000000,68.5140000,68.6450000,67.5350000,67.6010000,93593
20171107,000000,67.6010000,68.8000000,67.5042000,68.7520000,146916
20171108,000000,68.7520000,69.1030000,68.3988000,68.6560000,121747
20171109,000000,68.6840000,69.1920000,68.5150000,68.9910000,131756
20171110,000000,68.9910000,69.3150000,68.7397000,69.0190000,116820
20171111,000000,69.0360000,69.0780000,68.7866000,68.9940000,1470
20171112,000000,68.9600000,69.0150000,68.8980000,68.9472000,79
20171113,000000,68.9460000,69.4650000,68.7415000,69.2650000,103252
20171114,000000,69.2650000,71.0290000,69.1590000,71.0010000,121443
20171115,000000,71.0010000,71.5670000,70.7840000,70.9710000,130132
20171116,000000,70.9710000,71.0270000,70.0330000,70.1990000,119018
20171117,000000,70.1990000,70.5020000,69.5280000,69.6020000,111863
20171118,000000,69.6300000,69.6550000,69.4210000,69.5830000,1646
20171119,000000,69.6010000,69.9894000,69.4533000,69.6744000,307
20171120,000000,69.4562000,70.1970000,69.2170000,69.5930000,107549
20171121,000000,69.5930000,69.9170000,69.2670000,69.4600000,110534
20171122,000000,69.4760000,69.5490000,68.8444000,69.0620000,81760
20171123,000000,69.0620000,69.3220000,68.8249000,69.2600000,87415
20171124,000000,69.2660000,69.7140000,69.1030000,69.6300000,101498
20171125,000000,69.6560000,69.8718000,69.5480000,69.7120000,203
20171126,000000,69.5950000,69.7410000,69.5140000,69.6559000,174
20171127,000000,69.7590000,69.7590000,69.2050000,69.5116000,104489
20171128,000000,69.5840000,69.7130000,68.9870000,69.1220000,111767
20171129,000000,69.1250000,69.6350000,68.9176000,69.5300000,119004
20171130,000000,69.5300000,69.7640000,69.0307000,69.5500000,147237
20171201,000000,69.5680000,70.5170000,69.3364000,70.0070000,146744
20171202,000000,70.0070000,70.1120000,69.6574000,70.0640000,1781
20171203,000000,70.0300000,70.2627000,69.8151000,69.8386000,287
20171204,000000,69.8481000,69.9810000,69.3980000,69.7280000,128593
20171205,000000,69.7240000,69.8290000,69.1845000,69.4290000,104634
